protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
Q9UMS4,PRPF19,-0.4059748145816897,28.259012889812556,-1.4795478820766026,0.19979183627047495,0.4023443926692505,-5.537618226779309,0.3954020469026338,Not Significant
P22234,PAICS,-0.4987292902182823,28.95455299876257,-1.479401449750247,0.19982921527927244,0.4023443926692505,-5.537794068491012,0.3954020469026338,Not Significant
P23786,CPT2,0.3902516339069493,28.82576130408616,1.4793527989095292,0.19984163561638899,0.4023443926692505,-5.5378524889145435,0.3954020469026338,Not Significant
Q04917,YWHAH,-1.0391382653123742,28.08444211549599,-1.478068941566016,0.20016966780576848,0.4024639328040351,-5.539393900835778,0.39527303327381935,Not Significant
Q9NZ43,USE1,2.5090386469903727,19.714642074936016,1.477418503768796,0.20033605619123876,0.4024639328040351,-5.54017463366716,0.39527303327381935,Not Significant
P42166,TMPO,-3.618072925963382,25.241300003138523,-1.4772286213416623,0.2003846551329233,0.4024639328040351,-5.540402529109268,0.39527303327381935,Not Significant
O95747,OXSR1,2.2829601651211355,25.23394040903392,1.4771524086581467,0.2004041643783992,0.4024639328040351,-5.540493995934143,0.39527303327381935,Not Significant
Q9NWY4,HPF1,2.1072121237133636,24.86336499486794,1.4770306902005848,0.20043532618346716,0.4024639328040351,-5.540640072984151,0.39527303327381935,Not Significant
Q9NTK5,OLA1,-0.9528351810172886,27.276862040206094,-1.4768063959991062,0.20049276120236362,0.4024639328040351,-5.540909241778607,0.39527303327381935,Not Significant
P11310,ACADM,-0.4167115669089192,27.61594080310483,-1.4767699818026563,0.20050208728342692,0.4024639328040351,-5.540952939939523,0.39527303327381935,Not Significant
Q96GM8,TOE1,1.6725527369460522,23.984384437707593,1.4762565938104775,0.20063361619328465,0.40255554755904327,-5.541568978786586,0.3951741840317742,Not Significant
P13693,TPT1,-0.9138561262453173,27.475841399822173,-1.4751731364913492,0.20091146874034632,0.4028053895153192,-5.542868809683116,0.394904727241795,Not Significant
P36957,DLST,-0.47935095017720286,26.616806042687163,-1.474771226605637,0.2010146327918095,0.4028053895153192,-5.54335089329011,0.394904727241795,Not Significant
Q7Z4H3,HDDC2,-3.081603885211859,24.161943370463323,-1.4747660560267457,0.20101596033205282,0.4028053895153192,-5.543357094986739,0.394904727241795,Not Significant
