protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
Q9NWW5,CLN6,7.3300282500830996,22.125136876482383,6.920502074152839,0.0010171212629252891,0.0160541018030911,-0.04542109497795632,1.7944139873801428,Enriched (Pulldown)
Q8NBQ5,HSD17B11,7.33002578845738,22.125135645669516,6.914402227597721,0.0010212016226363433,0.0160541018030911,-0.049388340059620006,1.7944139873801428,Enriched (Pulldown)
Q9P031,CCDC59,7.310170101601049,22.115207802241354,6.905325832344303,0.001027309051175473,0.0160541018030911,-0.055298681114149595,1.7944139873801428,Enriched (Pulldown)
Q08722,CD47,7.305417574704872,22.112831538793262,6.863316008744635,0.0010561472397208939,0.01611466171138846,-0.08276703777563288,1.7927788070253268,Enriched (Pulldown)
Q9NX61,TMEM161A,7.29739483595705,22.10882016941935,6.886829398739751,0.0010398896737283214,0.01607110795835806,-0.06736983384087925,1.7939541815058415,Enriched (Pulldown)
O75027,ABCB7,7.2778773400950705,22.09906142148837,6.859300488628081,0.0010589536605734257,0.01611466171138846,-0.08540233248425544,1.7927788070253268,Enriched (Pulldown)
Q9H6H4,REEP4,7.257919224250788,22.08908236356622,6.830457867763289,0.0010793733528218468,0.016266954677414777,-0.10438119967958848,1.788693743349862,Enriched (Pulldown)
O15460,P4HA2,7.248073490809379,22.084159496845515,6.83933548548345,0.0010730389605444735,0.01622365680023209,-0.09853021096912418,1.7898512494363725,Enriched (Pulldown)
P07996,THBS1,7.247817245454382,22.08403137416802,6.844476495410254,0.0010693908673488524,0.016220825227391815,-0.0951457358685488,1.7899270550209223,Enriched (Pulldown)
P04004,VTN,7.220795349776122,22.070520426328887,6.785074256949708,0.001112456297156016,0.01644821029895977,-0.13442330517685086,1.7838813499675326,Enriched (Pulldown)
Q4U2R6,MRPL51,7.217414226107525,22.068829864494592,6.788999619149022,0.0011095478443605064,0.01644821029895977,-0.13181618673940942,1.7838813499675326,Enriched (Pulldown)
Q9Y584,TIMM22,7.1918543103362715,22.056049906608962,6.792943402193699,0.0011066348098619592,0.01644821029895977,-0.12919849456553667,1.7838813499675326,Enriched (Pulldown)
P50995,ANXA11,7.151953981419084,22.03609974215037,6.741655401267878,0.0011452370291769381,0.016769518561873305,-0.16337130507115827,1.7754794054274927,Enriched (Pulldown)
Q9H9L3,ISG20L2,7.151868103335719,22.036056803108682,6.725599686489992,0.0011576477993325454,0.016769518561873305,-0.17412737745096862,1.7754794054274927,Enriched (Pulldown)
Q99735,MGST2,7.14912931501954,22.0346874089506,6.7227546420577085,0.0011598635449508968,0.016769518561873305,-0.17603624573740717,1.7754794054274927,Enriched (Pulldown)
Q8NI60,COQ8A,7.131299870481861,22.02577268668176,6.700271551878726,0.0011775513750959398,0.016769518561873305,-0.19115207431310743,1.7754794054274927,Enriched (Pulldown)
P02538,KRT6A,7.122061080050063,22.02115329146586,6.680143007450729,0.001193658401143095,0.016851436524571346,-0.2047315924180806,1.7733630711664017,Enriched (Pulldown)
Q9BT22,ALG1,7.115812095375315,22.018028799128484,6.697497274685317,0.001179756013296661,0.016769518561873305,-0.19302108669196105,1.7754794054274927,Enriched (Pulldown)
Q9UGY1,NOL12,7.110746137347103,22.01549582011438,6.7010773902150325,0.0011769119131602847,0.016769518561873305,-0.19060934341820168,1.7754794054274927,Enriched (Pulldown)
Q7Z4R8,C6orf120,7.104629650063675,22.012437576472667,6.707828901961743,0.0011715704680050685,0.016769518561873305,-0.18606498736987476,1.7754794054274927,Enriched (Pulldown)
Q9NZE8,MRPL35,7.0985136821148735,22.009379592498266,6.687787460957081,0.0011875107074041384,0.01681529512266827,-0.19956913181837788,1.7742955060465468,Enriched (Pulldown)
